scenario_id,theme_id,scenario_group,domain,product_type,product_family_rule,product_family_label,model_name,region,carrier,os_oneui_version,intent_type,affected_function,observed_symptom,symptom_qualifier_ko,trigger_event,usage_context,onset_relation,frequency,reproducibility,user_impact,severity,diagnostic_class,user_suspected_cause,suspected_component,cause_evidence_level,attempted_action,action_result,desired_resolution,hard_negative,safety_flag,ambiguity_level,provenance_type,is_real_voc,source_anchor_id,source_usage,target_channel,target_language,missing_information_profile,recommended_split,split_group,canonical_scenario_ko,generation_constraints
GVS-0001,T01,휴대폰 배터리 지속시간,POWER,PHONE,S_BASE_PLUS,GALAXY_S_BASE_PLUS,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,밤새 사용하지 않았는데 잔량이 크게 줄어듦,IDLE,OVERNIGHT,AFTER_EVENT,INTERMITTENT,CONDITIONAL,BATTERY_ANXIETY,S1,UNKNOWN,UNKNOWN,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,조치 정보 없음,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SAMSUNG_MEMBERS,KO,NONE,TRAIN,GVS-0001,GALAXY_S_BASE_PLUS에서 IDLE/OVERNIGHT 조건에 밤새 사용하지 않았는데 잔량이 크게 줄어듦,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0002,T01,휴대폰 배터리 지속시간,POWER,PHONE,S_ULTRA,GALAXY_S_ULTRA,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,업데이트 뒤 화면 켜짐 시간 감소,OS_UPDATE,AFTER_UPDATE,IMMEDIATE,DAILY,REPRODUCIBLE,PRIMARY_FUNCTION_DEGRADED,S2,SOFTWARE_POSSIBLE,SOFTWARE_UPDATE_OR_APP,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,재부팅·업데이트·안전모드 중 일부 시도,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,ECOMMERCE_REVIEW,KO,MODEL_VERSION,VALID,GVS-0002,GALAXY_S_ULTRA에서 OS_UPDATE/AFTER_UPDATE 조건에 업데이트 뒤 화면 켜짐 시간 감소,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0003,T01,휴대폰 배터리 지속시간,POWER,PHONE,S_FE,GALAXY_S_FE,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,5G 약전계에서 배터리가 빠르게 닳음,FIVE_G,WEAK_SIGNAL,GRADUAL,FREQUENT,NOT_TESTED,TASK_DELAY,S2,NETWORK_PROVIDER_RELATED,NETWORK_OR_EXTERNAL_SERVICE,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,다른 망·장소·기기로 교차 확인,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,CALL_CENTER_TRANSCRIPT,KO,FREQUENCY,TRAIN,GVS-0003,GALAXY_S_FE에서 FIVE_G/WEAK_SIGNAL 조건에 5G 약전계에서 배터리가 빠르게 닳음,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0004,T01,휴대폰 배터리 지속시간,POWER,PHONE,Z_FOLD,GALAXY_Z_FOLD,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,내비게이션 중 충전해도 잔량이 줄어듦,NAVIGATION,GPS_ON,AFTER_AGING,ALWAYS,ALWAYS,MISSED_MOMENT,S2,ENVIRONMENT_RELATED,ENVIRONMENTAL_CONDITION,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,환경 조건 제거 후 재시험,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SERVICE_INTAKE,KO,TRIGGER,TRAIN,GVS-0004,GALAXY_Z_FOLD에서 NAVIGATION/GPS_ON 조건에 내비게이션 중 충전해도 잔량이 줄어듦,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0005,T01,휴대폰 배터리 지속시간,POWER,PHONE,Z_FLIP,GALAXY_Z_FLIP,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,카메라 사용 몇 분 만에 잔량 급감,CAMERA_USE,OUTDOOR_CAMERA,UNKNOWN,RARE,UNKNOWN,WORK_INTERRUPTED,S1,UNKNOWN,UNKNOWN,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,조치 정보 없음,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,HIGH,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SNS_POST,KO,ATTEMPTED_ACTION,TRAIN,GVS-0005,GALAXY_Z_FLIP에서 CAMERA_USE/OUTDOOR_CAMERA 조건에 카메라 사용 몇 분 만에 잔량 급감,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0006,T01,휴대폰 배터리 지속시간,POWER,PHONE,A_SERIES,GALAXY_A,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,듀얼 SIM 사용 시 대기 소모 증가,DUAL_SIM,TWO_ACTIVE_SIMS,AFTER_EVENT,INTERMITTENT,CONDITIONAL,REPEATED_RETRY,S2,SOFTWARE_POSSIBLE,SOFTWARE_UPDATE_OR_APP,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,재부팅·업데이트·안전모드 중 일부 시도,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,COMMUNITY_POST,KO,MODEL_AND_VERSION,TRAIN,GVS-0006,GALAXY_A에서 DUAL_SIM/TWO_ACTIVE_SIMS 조건에 듀얼 SIM 사용 시 대기 소모 증가,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0007,T01,휴대폰 배터리 지속시간,POWER,PHONE,S_BASE_PLUS,GALAXY_S_BASE_PLUS,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,핫스팟 종료 후에도 소모가 계속됨,HOTSPOT,SCREEN_OFF,IMMEDIATE,DAILY,REPRODUCIBLE,DATA_OR_SERVICE_UNAVAILABLE,S2,NETWORK_PROVIDER_RELATED,NETWORK_OR_EXTERNAL_SERVICE,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,다른 망·장소·기기로 교차 확인,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,CHAT_SUPPORT,KO,TIME_PATTERN,TRAIN,GVS-0007,GALAXY_S_BASE_PLUS에서 HOTSPOT/SCREEN_OFF 조건에 핫스팟 종료 후에도 소모가 계속됨,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0008,T01,휴대폰 배터리 지속시간,POWER,PHONE,S_ULTRA,GALAXY_S_ULTRA,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,게임 종료 뒤에도 발열과 소모 지속,GAMING,HIGH_REFRESH_RATE,GRADUAL,FREQUENT,NOT_TESTED,TRAVEL_DISRUPTION,S2,ENVIRONMENT_RELATED,ENVIRONMENTAL_CONDITION,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,환경 조건 제거 후 재시험,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SURVEY_FREE_TEXT,EN,NONE,TRAIN,GVS-0008,GALAXY_S_ULTRA에서 GAMING/HIGH_REFRESH_RATE 조건에 게임 종료 뒤에도 발열과 소모 지속,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0009,T01,휴대폰 배터리 지속시간,POWER,PHONE,S_FE,GALAXY_S_FE,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,새 기기 초기 설정 첫날 배터리가 짧음,INITIAL_SETUP,NEW_DEVICE,AFTER_AGING,ALWAYS,ALWAYS,FINANCIAL_OR_TIME_COST,S1,UNKNOWN,UNKNOWN,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,조치 정보 없음,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,STORE_REVIEW,EN,CONTEXT,TRAIN,GVS-0009,GALAXY_S_FE에서 INITIAL_SETUP/NEW_DEVICE 조건에 새 기기 초기 설정 첫날 배터리가 짧음,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0010,T01,휴대폰 배터리 지속시간,POWER,PHONE,Z_FOLD,GALAXY_Z_FOLD,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.ENDURANCE,EXCESS_CONSUMPTION,특정 앱 업데이트 뒤 백그라운드 소모 증가,APP_UPDATE,BACKGROUND_SYNC,UNKNOWN,RARE,UNKNOWN,USER_CONFUSION,S2,SOFTWARE_POSSIBLE,SOFTWARE_UPDATE_OR_APP,BATTERY|POWER_MANAGEMENT|MODEM|APP,USER_GUESS,재부팅·업데이트·안전모드 중 일부 시도,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,HIGH,SYNTHETIC_SCENARIO,FALSE,SRC010,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,EMAIL_COMPLAINT,KO_EN_MIXED,MULTIPLE_FIELDS,TRAIN,GVS-0010,GALAXY_Z_FOLD에서 APP_UPDATE/BACKGROUND_SYNC 조건에 특정 앱 업데이트 뒤 백그라운드 소모 증가,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0011,T02,잔량 급변과 전원 종료,POWER,PHONE,S_BASE_PLUS,GALAXY_S_BASE_PLUS,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,INACCURATE,20% 남았는데 갑자기 1%로 떨어짐,LOW_TEMP,BELOW_20_PERCENT,AFTER_EVENT,INTERMITTENT,CONDITIONAL,MISSED_ALARM,S2,PRODUCT_DEFECT_POSSIBLE,HARDWARE_OR_COMPONENT,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,자가진단 또는 서비스센터 점검,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SAMSUNG_MEMBERS,KO,NONE,TEST,GVS-0011,GALAXY_S_BASE_PLUS에서 LOW_TEMP/BELOW_20_PERCENT 조건에 20% 남았는데 갑자기 1%로 떨어짐,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0012,T02,잔량 급변과 전원 종료,POWER,PHONE,S_ULTRA,GALAXY_S_ULTRA,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,SHUTDOWN,카메라를 켜면 남은 배터리와 무관하게 꺼짐,CAMERA_USE,ZOOM_USE,IMMEDIATE,DAILY,REPRODUCIBLE,PRIMARY_FUNCTION_UNAVAILABLE,S3,SOFTWARE_POSSIBLE,SOFTWARE_UPDATE_OR_APP,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,재부팅·업데이트·안전모드 중 일부 시도,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,ECOMMERCE_REVIEW,KO,MODEL_VERSION,TRAIN,GVS-0012,GALAXY_S_ULTRA에서 CAMERA_USE/ZOOM_USE 조건에 카메라를 켜면 남은 배터리와 무관하게 꺼짐,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0013,T02,잔량 급변과 전원 종료,POWER,PHONE,Z_FOLD,GALAXY_Z_FOLD,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,RESTART,게임 중 전원이 꺼지고 재부팅됨,GAMING,HIGH_LOAD,GRADUAL,FREQUENT,NOT_TESTED,WORK_INTERRUPTED,S2,UNKNOWN,UNKNOWN,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,조치 정보 없음,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,CALL_CENTER_TRANSCRIPT,KO,FREQUENCY,TRAIN,GVS-0013,GALAXY_Z_FOLD에서 GAMING/HIGH_LOAD 조건에 게임 중 전원이 꺼지고 재부팅됨,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0014,T02,잔량 급변과 전원 종료,POWER,PHONE,Z_FLIP,GALAXY_Z_FLIP,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,INACCURATE,충전기를 꽂는 순간 잔량 표시가 크게 바뀜,PLUG_IN,CHARGER_CONNECTED,AFTER_AGING,ALWAYS,ALWAYS,MISSED_ALARM,S2,PRODUCT_DEFECT_POSSIBLE,HARDWARE_OR_COMPONENT,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,자가진단 또는 서비스센터 점검,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SERVICE_INTAKE,KO,TRIGGER,VALID,GVS-0014,GALAXY_Z_FLIP에서 PLUG_IN/CHARGER_CONNECTED 조건에 충전기를 꽂는 순간 잔량 표시가 크게 바뀜,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0015,T02,잔량 급변과 전원 종료,POWER,PHONE,A_SERIES,GALAXY_A,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,SHUTDOWN,오래 쓴 뒤 40% 부근에서 반복 종료,BATTERY_CYCLES,AGED_BATTERY,UNKNOWN,RARE,UNKNOWN,PRIMARY_FUNCTION_UNAVAILABLE,S3,SOFTWARE_POSSIBLE,SOFTWARE_UPDATE_OR_APP,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,재부팅·업데이트·안전모드 중 일부 시도,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,HIGH,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SNS_POST,KO,ATTEMPTED_ACTION,TRAIN,GVS-0015,GALAXY_A에서 BATTERY_CYCLES/AGED_BATTERY 조건에 오래 쓴 뒤 40% 부근에서 반복 종료,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0016,T02,잔량 급변과 전원 종료,POWER,PHONE,XCOVER,GALAXY_XCOVER,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,RESTART,밤사이 전원이 꺼져 알람이 울리지 않음,IDLE,OVERNIGHT,AFTER_EVENT,INTERMITTENT,CONDITIONAL,WORK_INTERRUPTED,S2,UNKNOWN,UNKNOWN,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,조치 정보 없음,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,COMMUNITY_POST,KO,MODEL_AND_VERSION,VALID,GVS-0016,GALAXY_XCOVER에서 IDLE/OVERNIGHT 조건에 밤사이 전원이 꺼져 알람이 울리지 않음,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0017,T02,잔량 급변과 전원 종료,POWER,PHONE,S_BASE_PLUS,GALAXY_S_BASE_PLUS,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,INACCURATE,전화 수신 순간 재부팅됨,RECEIVE_CALL,MOBILE_CALL,IMMEDIATE,DAILY,REPRODUCIBLE,MISSED_ALARM,S2,PRODUCT_DEFECT_POSSIBLE,HARDWARE_OR_COMPONENT,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,자가진단 또는 서비스센터 점검,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,CHAT_SUPPORT,KO,TIME_PATTERN,TRAIN,GVS-0017,GALAXY_S_BASE_PLUS에서 RECEIVE_CALL/MOBILE_CALL 조건에 전화 수신 순간 재부팅됨,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0018,T02,잔량 급변과 전원 종료,POWER,PHONE,S_ULTRA,GALAXY_S_ULTRA,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,SHUTDOWN,더운 날 야외에서 잔량 급락,HIGH_TEMP,OUTDOOR_SUMMER,GRADUAL,FREQUENT,NOT_TESTED,PRIMARY_FUNCTION_UNAVAILABLE,S3,SOFTWARE_POSSIBLE,SOFTWARE_UPDATE_OR_APP,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,재부팅·업데이트·안전모드 중 일부 시도,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,MEDIUM,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,SURVEY_FREE_TEXT,EN,NONE,VALID,GVS-0018,GALAXY_S_ULTRA에서 HIGH_TEMP/OUTDOOR_SUMMER 조건에 더운 날 야외에서 잔량 급락,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
GVS-0019,T02,잔량 급변과 전원 종료,POWER,PHONE,Z_FOLD,GALAXY_Z_FOLD,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,DEFECT_REPORT,POWER.BATTERY.LEVEL,RESTART,특별한 패턴 없이 임의로 꺼짐,UNKNOWN,RANDOM,AFTER_AGING,ALWAYS,ALWAYS,WORK_INTERRUPTED,S2,UNKNOWN,UNKNOWN,BATTERY|FUEL_GAUGE|PMIC,USER_GUESS,조치 정보 없음,UNSPECIFIED,CAUSE_CHECK_OR_REPAIR,FALSE,NONE,LOW,SYNTHETIC_SCENARIO,FALSE,SRC001,CATEGORY_ANCHOR_NOT_ROW_EVIDENCE,STORE_REVIEW,EN,CONTEXT,TRAIN,GVS-0019,GALAXY_Z_FOLD에서 UNKNOWN/RANDOM 조건에 특별한 패턴 없이 임의로 꺼짐,관찰 사실과 원인 추정을 분리; 모델 기능 호환성 검사
